"","X1","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","Date"
"886",2247,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 08:07:13,FALSE,NA,1003186327242919936,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mizner_cheryl",1587,TRUE,FALSE,NA,NA,2018-06-03
"887",2248,"RT @NickForVA: While in the U.S. Senate, Tim Kaine has pledged to raise taxes, support government funding of Planned Parenthood, and suppor‚Ä¶",FALSE,0,NA,2018-06-03 08:06:43,FALSE,NA,1003186200885256192,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realTanya66Page",201,TRUE,FALSE,NA,NA,2018-06-03
"888",2249,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 08:05:25,FALSE,NA,1003185875180834816,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndyHanson1189",1587,TRUE,FALSE,NA,NA,2018-06-03
"889",2250,"RT @nbcollette9: Hanover County is @NickForVA country! Vote Nick Freitas on June 12th. https://t.co/p54MiG7B43",FALSE,0,NA,2018-06-03 08:01:24,FALSE,NA,1003184862638075904,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gilcoleman",40,TRUE,FALSE,NA,NA,2018-06-03
"890",2251,"RT @NickForVA: One thing I‚Äôve learned is this: In politics and combat, cowardice is contagious, but so is courage. If you're willing to be‚Ä¶",FALSE,0,NA,2018-06-03 08:00:05,FALSE,NA,1003184530616795136,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShotsRangOut",372,TRUE,FALSE,NA,NA,2018-06-03
"891",2252,"RT @nbcollette9: Hanover County is @NickForVA country! Vote Nick Freitas on June 12th. https://t.co/p54MiG7B43",FALSE,0,NA,2018-06-03 07:59:46,FALSE,NA,1003184454989312000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShotsRangOut",40,TRUE,FALSE,NA,NA,2018-06-03
"892",2253,"RT @NickForVA: While in the U.S. Senate, Tim Kaine has pledged to raise taxes, support government funding of Planned Parenthood, and suppor‚Ä¶",FALSE,0,NA,2018-06-03 07:59:15,FALSE,NA,1003184322512207872,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ShotsRangOut",201,TRUE,FALSE,NA,NA,2018-06-03
"893",2254,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:47:44,FALSE,NA,1003181426630647808,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joanmariew708",1587,TRUE,FALSE,NA,NA,2018-06-03
"894",2255,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:43:59,FALSE,NA,1003180482857709568,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JamesWa55188246",1587,TRUE,FALSE,NA,NA,2018-06-03
"895",2256,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:28:31,FALSE,NA,1003176590124167168,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobertH09778996",1587,TRUE,FALSE,NA,NA,2018-06-03
"896",2257,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:27:45,FALSE,NA,1003176394380242944,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","don_peck",1587,TRUE,FALSE,NA,NA,2018-06-03
"897",2258,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:20:18,FALSE,NA,1003174520625225728,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShadowsOfLiars",1587,TRUE,FALSE,NA,NA,2018-06-03
"898",2259,"@Stump_for_Trump @NickForVA @timkaine Tim Kaine doesn't have a clue. I hope the voters do and vote him out.",FALSE,4,"Stump_for_Trump",2018-06-03 07:20:12,FALSE,1002935518873649152,1003174495283236864,890319316327047168,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShadowsOfLiars",0,FALSE,FALSE,NA,NA,2018-06-03
"899",2260,"RT @GJTIII: @Stump_for_Trump @NickForVA @timkaine VOTE for #CoreyStewart...who would ‚ÄúProsecute any local or state official who declares th‚Ä¶",FALSE,0,NA,2018-06-03 07:18:19,FALSE,NA,1003174021389619200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RichardKuchmak",27,TRUE,FALSE,NA,NA,2018-06-03
"900",2261,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:17:35,FALSE,NA,1003173837914058752,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RichardKuchmak",1587,TRUE,FALSE,NA,NA,2018-06-03
"901",2262,"RT @Stump_for_Trump: .@NickForVA is a rising star in the Republican Party. He‚Äôs a former Green Beret, has an A rating from the NRA, wants m‚Ä¶",FALSE,0,NA,2018-06-03 07:17:26,FALSE,NA,1.003173799293e+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DemarkusDickey",1587,TRUE,FALSE,NA,NA,2018-06-03
"902",2263,"RT @Patriotic_Va: #NickFreitas dropping truth bombs Ì†ΩÌ≤•Ì†ΩÌ≤• about our #2A rights! @NickForVA sounding pretty solid! 

#Virginians get out there‚Ä¶",FALSE,0,NA,2018-06-03 07:15:28,FALSE,NA,1003173305103286272,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JamesHa99800295",770,TRUE,FALSE,NA,NA,2018-06-03
