"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2669","@MrDane1982 2016 voted Bernie in Primary but Hillary in GE
Will vote for Hillary again in 2020 if she's the dem nom‚Ä¶ https://t.co/oSr2BUYE0E",FALSE,0,"MrDane1982",2018-06-12 12:59:37,TRUE,"1006419481722281984","1006521401443012608","543780273","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GOATPOTUSTrump",0,FALSE,FALSE,NA,NA
"2670","RT @CapehartJ: ""...and allow that to be verified. Because if you don't know what it is they have, how could you trust that they'll do a dea‚Ä¶",FALSE,0,NA,2018-06-12 12:59:17,FALSE,NA,"1006521321235402752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lowkell",17,TRUE,FALSE,NA,NA
"2671","RT @CapehartJ: Tim Kaine calls out the ‚Äòglass jaws‚Äô and ‚Äòcrybabies‚Äô of the Trump White House. https://t.co/DLgQQ2HVkz",FALSE,0,NA,2018-06-12 12:58:36,FALSE,NA,"1006521145766662144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tempkt",22,TRUE,FALSE,NA,NA
"2672","""...and allow that to be verified. Because if you don't know what it is they have, how could you trust that they'll‚Ä¶ https://t.co/suQOlWpTLg",FALSE,51,"CapehartJ",2018-06-12 12:58:34,TRUE,"1006521136727953408","1006521137722023936","97474887","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CapehartJ",17,FALSE,FALSE,NA,NA
"2673","It‚Äôs primary Election Day in Virginia. Make sure to get out and vote for the true Conservative in the race,‚Ä¶ https://t.co/AArZpP51X1",FALSE,57,NA,2018-06-12 12:54:20,TRUE,NA,"1006520075459981319",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JesseGreen99",24,FALSE,FALSE,NA,NA
"2674","RT @Kesterdaughter: Today‚Äôs the day to vote for @NickForVA !!! I‚Äôve never been happier to vote for someone in my life, go out and vote if y‚Ä¶",FALSE,0,NA,2018-06-12 12:52:41,FALSE,NA,"1006519659812843520",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hirschfeld4VA",7,TRUE,FALSE,NA,NA
"2675","RT @BrennanCenter: Congress is at a crossroads. It can officially transfer its war-making powers to the president. Or it can reclaim its co‚Ä¶",FALSE,0,NA,2018-06-12 12:52:10,FALSE,NA,"1006519527931301891",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeanfuntango",69,TRUE,FALSE,NA,NA
"2676","Today‚Äôs the day to vote for @NickForVA !!! I‚Äôve never been happier to vote for someone in my life, go out and vote‚Ä¶ https://t.co/khnVlQroUs",FALSE,25,NA,2018-06-12 12:48:14,TRUE,NA,"1006518539820392449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kesterdaughter",7,FALSE,FALSE,NA,NA
"2677","RT @SuMoh7: RT! #Election2018 #Virginia #WinBlue

Support Sen. TIM KAINE #VAsen,&amp; @DemsWork4USA
Ì†ΩÌ±âhttps://t.co/f49Oa2551o

#YesWeCan #KeepIt‚Ä¶",FALSE,0,NA,2018-06-12 12:42:33,FALSE,NA,"1006517106739826689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","freeandclear1",109,TRUE,FALSE,NA,NA
"2678","#gunvote trying to get Tim Kaine out of office‚Ä¶ https://t.co/6ptauDaRqG",FALSE,3,NA,2018-06-12 12:40:28,FALSE,NA,"1006516584813297667",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","gun_carry",0,FALSE,FALSE,NA,NA
"2679","Go vote, y‚Äôall.  It was dead empty at my polling place.  It‚Äôs a Republican primary, but principles are principles.‚Ä¶ https://t.co/peQiXmEv5Y",FALSE,1,NA,2018-06-12 12:28:54,TRUE,NA,"1006513671848251397",NA,"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>","IanDavey773",0,FALSE,FALSE,NA,NA
"2680","RT @SuMoh7: RT! #Election2018 #Virginia #WinBlue

Support Sen. TIM KAINE #VAsen,&amp; @DemsWork4USA
Ì†ΩÌ±âhttps://t.co/f49Oa2551o

#YesWeCan #KeepIt‚Ä¶",FALSE,0,NA,2018-06-12 12:27:10,FALSE,NA,"1006513235787382784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__activistbitch",109,TRUE,FALSE,NA,NA
"2682","#RockTheVote Virginia! Today are your primaries for House and even though Senator Tim Kaine is unopposed, would be‚Ä¶ https://t.co/prYou0RdsX",FALSE,1,NA,2018-06-12 12:11:27,TRUE,NA,"1006509281867333632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamthealphacat",0,FALSE,FALSE,NA,NA
"2683","@matthewhurtt @BillKristol I think @BillKristol knows @NickForVA is the only one who can beat Tim Kaine. Make no mi‚Ä¶ https://t.co/Tmad6izr5z",FALSE,0,"matthewhurtt",2018-06-12 12:09:29,TRUE,"1006504438733922304","1006508787413520384","17275727","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PatriotWriter",0,FALSE,FALSE,NA,NA
"2684","@jnnfrbnntt *insert Tim Kaine dad joke here*",FALSE,1,"jnnfrbnntt",2018-06-12 12:04:53,FALSE,"1006507192164519937","1006507629949128705","289118267","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tom_Wright12",0,FALSE,FALSE,NA,NA
"2685","RT @RebaCBS6: Virginia Primary Day. Polls open until 7pm. @ShannonLillyTV covering the big races: 7th district, Tim Kaine challenge @CBS6‚Ä¶",FALSE,0,NA,2018-06-12 12:02:00,FALSE,NA,"1006506901922861056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoseLuzRodrigu2",3,TRUE,FALSE,NA,NA
"2686","RT @AliAdair22: Ì†ΩÌ≥£#Virginia! Please vote for Tim Kaine for U.S. Senate!
Ì†ΩÌ∑ΩTuesday, June 12th Primary

https://t.co/MDSDsau3hC",FALSE,0,NA,2018-06-12 11:55:55,FALSE,NA,"1006505372008370180",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rick3932",40,TRUE,FALSE,NA,NA
"2687","RT @940_Lady_H: @Nov2018election @CoreyStewartVA Ì†ΩÌªë Corey Stewart For VA Senator 2018 - Defeat Tim Kaine

Ì†ΩÌªë Seek something better

Ì†ΩÌªë The rig‚Ä¶",FALSE,0,NA,2018-06-12 11:51:32,FALSE,NA,"1006504270290718721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HDowning113",7,TRUE,FALSE,NA,NA
