"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"789","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:59:59,FALSE,NA,"1017378033026650112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suemopaul",297,TRUE,FALSE,NA,NA
"790","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:56:47,FALSE,NA,"1017377224859713536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WendyBurdette1",297,TRUE,FALSE,NA,NA
"791","@CoreyStewartVA @realDonaldTrump Keep it up!  VA needs you to kick that leftist fraud out of the senate!",FALSE,1,"CoreyStewartVA",2018-07-12 11:52:17,FALSE,"1017240166849765376","1017376095417626624","259045004","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chneffjr",0,FALSE,FALSE,NA,NA
"792","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:49:34,FALSE,NA,"1017375412446552064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GoogleAgorism",297,TRUE,FALSE,NA,NA
"793","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:49:08,FALSE,NA,"1017375301251280897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jmdearras",297,TRUE,FALSE,NA,NA
"794","#Virginia 
Our once beautiful state is infected with swamp politicians like Tim Kaine.
 #DrainTheDeepState https://t.co/S1mcmBDged",FALSE,0,NA,2018-07-12 11:46:04,FALSE,NA,"1017374528262098944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ilasRVA",0,FALSE,FALSE,NA,NA
"795","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:44:15,FALSE,NA,"1017374074773954561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theramesses",297,TRUE,FALSE,NA,NA
"796","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:39:59,FALSE,NA,"1017372998964334593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R98250729",297,TRUE,FALSE,NA,NA
"797","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:39:29,FALSE,NA,"1017372874603220992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Connor_Merk",297,TRUE,FALSE,NA,NA
"798","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:35:13,FALSE,NA,"1017371800915849217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joeld58",297,TRUE,FALSE,NA,NA
"799","@John_R_Eason @CoreyStewartVA Allow me to be very clear @John_R_Eason Racism isn’t an overused word. It’s an overus… https://t.co/J4rVy0CMqz",FALSE,0,"John_R_Eason",2018-07-12 11:27:19,TRUE,"1017028664637165569","1017369809875619840","736651046","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BreRVA",0,FALSE,FALSE,NA,NA
"800","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:27:03,FALSE,NA,"1017369742473089024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","danbar32",297,TRUE,FALSE,NA,NA
"801","@John_R_Eason @QueenBoo @CoreyStewartVA @timkaine Oh, I’m sorry, are you still tweeting? #lame",FALSE,0,"John_R_Eason",2018-07-12 11:25:21,FALSE,"1017106209890095104","1017369314750615552","736651046","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BreRVA",0,FALSE,FALSE,NA,NA
"802","@CoreyStewartVA @realDonaldTrump You also LIE like the President.",FALSE,1,"CoreyStewartVA",2018-07-12 11:24:57,FALSE,"1017240166849765376","1017369213667872768","259045004","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Susanminva",1,FALSE,FALSE,NA,NA
"803","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:24:00,FALSE,NA,"1017368978627465218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dlkvaoh2015",297,TRUE,FALSE,NA,NA
"804","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:22:20,FALSE,NA,"1017368557804539906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jaredhenry1776",297,TRUE,FALSE,NA,NA
"805","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:20:40,FALSE,NA,"1017368138416033792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DAR1775",297,TRUE,FALSE,NA,NA
"806","@CoreyStewartVA @realDonaldTrump Another lie from Corey as about the 100% peaceful ""Stop Kavanaugh"" rally the other… https://t.co/mdXvcnEaON",FALSE,3,"lowkell",2018-07-12 11:18:38,TRUE,"1017362830423724033","1017367626845220864","16186916","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lowkell",0,FALSE,FALSE,NA,NA
"807","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:18:29,FALSE,NA,"1017367590455468032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jah20132",297,TRUE,FALSE,NA,NA
"808","RT @CoreyStewartVA: Check out our new ad: Kaine attended an ""Abolish ICE"" rally on June 30 and has done nothing in D.C. but raise taxes, su…",FALSE,0,NA,2018-07-12 11:17:25,FALSE,NA,"1017367321294319616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BrutusVa",297,TRUE,FALSE,NA,NA
