"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"507","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 16:54:30,FALSE,NA,"1013465882830491650",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnroanejr1",76,TRUE,FALSE,NA,NA
"508","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

#VASEN",FALSE,0,NA,2018-07-01 16:27:12,FALSE,NA,"1013459013114064896",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","Realjewishdepl1",0,FALSE,FALSE,NA,NA
"509","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 16:12:54,FALSE,NA,"1013455415374434304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JohnNukeMan",76,TRUE,FALSE,NA,NA
"510","RT @CoreyStewartVA: When selecting the new @VA_GOP Chairman, party leadership should choose a strong leader who will fight for President @r…",FALSE,0,NA,2018-07-01 16:08:15,FALSE,NA,"1013454244425461760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","HarveyStaub1",62,TRUE,FALSE,NA,NA
"511","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 16:08:06,FALSE,NA,"1013454206378958848",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","HarveyStaub1",76,TRUE,FALSE,NA,NA
"512","RT @RussOnPolitics: Huge news out of Virginia. State Republican Party Chairman John C. Whitbeck resigned on Saturday, amid the GOP #VAsen n…",FALSE,0,NA,2018-07-01 15:53:20,FALSE,NA,"1013450489881604097",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nonnykate",1,TRUE,FALSE,NA,NA
"513","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 15:51:30,FALSE,NA,"1013450027509874690",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kerrywithak2",76,TRUE,FALSE,NA,NA
"514","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 15:48:18,FALSE,NA,"1013449222731923457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sofia03336",76,TRUE,FALSE,NA,NA
"515","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 15:47:42,FALSE,NA,"1013449071636475904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ltucker8044",76,TRUE,FALSE,NA,NA
"516","Huge news out of Virginia. State Republican Party Chairman John C. Whitbeck resigned on Saturday, amid the GOP… https://t.co/u8fsKO546l",FALSE,2,NA,2018-07-01 15:21:11,TRUE,NA,"1013442400549789697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RussOnPolitics",1,FALSE,FALSE,NA,NA
"517","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 15:10:15,FALSE,NA,"1013439647769341952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jgonzalez505",76,TRUE,FALSE,NA,NA
"518","@Shaftan @CoreyStewartVA Bless your heart. Take all the #Screenshots you want. @CoreyStewartVA is a racist and bigot. #VASen",FALSE,0,"Shaftan",2018-07-01 15:06:38,FALSE,"1013436065737306113","1013438737898967040","19220761","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GOP4Kaine",0,FALSE,FALSE,NA,NA
"519","Watch all these ""Republicans"" attacking @CoreyStewartVA start kissing his ass when the #VASen numbers tighten. #Screenshots",FALSE,2,NA,2018-07-01 14:56:01,FALSE,NA,"1013436065737306113",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Shaftan",0,FALSE,FALSE,NA,NA
"520","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 14:53:43,FALSE,NA,"1013435487795777541",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","deborahrieck",76,TRUE,FALSE,NA,NA
"521","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 14:39:10,FALSE,NA,"1013431824855511040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThinkersSociety",76,TRUE,FALSE,NA,NA
"522","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 14:36:57,FALSE,NA,"1013431269017968641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HeliaERossini1",76,TRUE,FALSE,NA,NA
"523","RT @CoreyStewartVA: Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watch ou…",FALSE,0,NA,2018-07-01 14:34:54,FALSE,NA,"1013430751503798272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ReneeSPotter",76,TRUE,FALSE,NA,NA
"524","Yesterday, we rallied outside of the Red Hen with @realDonaldTrump supporters and @trump_bikers in Lexington!

Watc… https://t.co/Ev76XZxhT6",FALSE,196,NA,2018-07-01 14:34:32,TRUE,NA,"1013430659442970624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CoreyStewartVA",76,FALSE,FALSE,NA,NA
"525","RT @CoreyStewartVA: When selecting the new @VA_GOP Chairman, party leadership should choose a strong leader who will fight for President @r…",FALSE,0,NA,2018-07-01 14:01:11,FALSE,NA,"1013422266653298689",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","constitutionmd",62,TRUE,FALSE,NA,NA
"526","Stewart will lose this Senate race by no less than 13 points. He will almost certainly lose it by 15-20 points. It'… https://t.co/s8YrY0qcFt",FALSE,0,NA,2018-07-01 13:10:00,TRUE,NA,"1013409386348367874",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RichKelsey",0,FALSE,FALSE,NA,NA
